"","TS","Iref","Isig","ATN","BC","RH","Temp","FR","Vbat","GPSlat","GPSlong","DST_time"
"89","$2023-07-21 06:26:47",7699752,7042030,10.2391064,0.399,46.78722,24.58343,100.7,7.97,52.31288,4.97107,2023-07-21 06:26:47
"90","$2023-07-21 06:26:50",7698903,7041227,10.2395344,1.2527,46.75059,24.59678,100.4,7.97,52.31288,4.97107,2023-07-21 06:26:50
"91","$2023-07-21 06:26:52",7698043,7040473,10.2402151,1.9856,46.73991,24.6128,100.4,7.97,52.31275,4.97077,2023-07-21 06:26:52
"92","$2023-07-21 06:26:54",7697336,7039814,10.2407765,1.6333,46.79485,24.62615,100.4,7.97,52.31275,4.97077,2023-07-21 06:26:54
"93","$2023-07-21 06:26:56",7696521,7039135,10.2410626,0.8342,46.83147,24.62615,100.4,7.97,52.31275,4.97077,2023-07-21 06:26:56
"94","$2023-07-21 06:26:58",7695819,7038504,10.2411389,0.2217,46.8864,24.65286,100.7,7.97,52.31275,4.97077,2023-07-21 06:26:58
"95","$2023-07-21 06:27:00",7694995,7037744,10.2412498,0.3222,46.85894,24.6395,100.4,7.97,52.31275,4.97077,2023-07-21 06:27:00
"96","$2023-07-21 06:27:02",7694128,7036942,10.2415562,0.8946,46.87267,24.65286,100.4,7.97,52.31274,4.97058,2023-07-21 06:27:02
"97","$2023-07-21 06:27:04",7693393,7036262,10.2420616,1.4739,46.86962,24.6395,100.4,7.97,52.31274,4.97058,2023-07-21 06:27:04
"98","$2023-07-21 06:27:06",7692595,7035483,10.2426887,1.8276,46.98711,24.65286,100.4,7.97,52.31274,4.97058,2023-07-21 06:27:06
"99","$2023-07-21 06:27:08",7691814,7034775,10.2434015,2.0803,47.12902,24.66888,100.4,7.97,52.31274,4.97058,2023-07-21 06:27:08
"100","$2023-07-21 06:27:10",7691055,7034119,10.2439404,1.5679,47.20836,24.69558,100.4,7.97,52.31274,4.97058,2023-07-21 06:27:10
"101","$2023-07-21 06:27:12",7690291,7033421,10.2442491,0.8986,47.28618,24.70893,100.4,7.97,52.31274,4.97058,2023-07-21 06:27:12
"102","$2023-07-21 06:27:14",7689521,7032700,10.2445352,0.8346,47.32585,24.70893,100.4,7.97,52.31274,4.97058,2023-07-21 06:27:14
"103","$2023-07-21 06:27:16",7688789,7031995,10.2450502,1.5111,47.37774,24.72495,100.4,7.97,52.31274,4.97058,2023-07-21 06:27:16
"104","$2023-07-21 06:27:18",7688032,7031346,10.2456439,1.7356,47.42809,24.72495,100.4,7.97,52.31274,4.97058,2023-07-21 06:27:18
"105","$2023-07-21 06:27:20",7687414,7030761,10.2461064,1.3528,47.44183,24.72495,100.4,7.97,52.31274,4.97058,2023-07-21 06:27:20
"106","$2023-07-21 06:27:22",7686626,7030017,10.2465665,1.2948,47.45556,24.72495,100.7,7.97,52.31272,4.97032,2023-07-21 06:27:22
"107","$2023-07-21 06:27:24",7685777,7029259,10.2470624,1.4482,47.49218,24.7383,100.7,7.97,52.31272,4.97032,2023-07-21 06:27:24
"108","$2023-07-21 06:27:26",7685105,7028654,10.2475119,1.31,47.59747,24.75166,100.7,7.97,52.31272,4.97032,2023-07-21 06:27:26
"109","$2023-07-21 06:27:28",7684330,7027924,10.2478743,1.052,47.62494,24.76768,100.7,7.97,52.31272,4.97032,2023-07-21 06:27:28
"110","$2023-07-21 06:27:30",7683628,7027287,10.248282,1.1863,47.70123,24.75166,100.4,7.97,52.31272,4.97032,2023-07-21 06:27:30
"111","$2023-07-21 06:27:32",7682963,7026708,10.2486885,1.1649,47.73938,24.76768,100.7,7.97,52.31272,4.97028,2023-07-21 06:27:32
"112","$2023-07-21 06:27:34",7682221,7026043,10.2489305,0.7073,47.78058,24.79438,100.4,7.97,52.31272,4.97028,2023-07-21 06:27:34
"113","$2023-07-21 06:27:36",7681546,7025437,10.2490938,0.4779,47.75616,24.79438,100.4,7.97,52.31272,4.97028,2023-07-21 06:27:36
"114","$2023-07-21 06:27:38",7680791,7024768,10.2492595,0.4808,47.79431,24.79438,100.4,7.97,52.31272,4.97028,2023-07-21 06:27:38
"115","$2023-07-21 06:27:40",7680094,7024117,10.2495015,0.7099,47.74395,24.79438,100.7,7.97,52.31272,4.97028,2023-07-21 06:27:40
"116","$2023-07-21 06:27:42",7679408,7023461,10.2498853,1.1161,47.79431,24.80773,100.4,7.97,52.31263,4.9699,2023-07-21 06:27:42
"117","$2023-07-21 06:27:44",7678764,7022900,10.2503574,1.3767,47.80804,24.80773,100.7,7.97,52.31263,4.9699,2023-07-21 06:27:44
"118","$2023-07-21 06:27:46",7678100,7022300,10.2507317,1.0895,47.79736,24.82375,100.7,7.97,52.31263,4.9699,2023-07-21 06:27:46
"119","$2023-07-21 06:27:48",7677413,7021668,10.2510059,0.799,47.74853,24.83711,100.7,7.97,52.31263,4.9699,2023-07-21 06:27:48
"120","$2023-07-21 06:27:50",7676745,7021049,10.2513361,0.9617,47.72564,24.85046,100.7,7.97,52.31263,4.9699,2023-07-21 06:27:50
"121","$2023-07-21 06:27:52",7676014,7020417,10.2516878,1.0303,47.71191,24.83711,100.7,7.97,52.31263,4.9699,2023-07-21 06:27:52
"122","$2023-07-21 06:27:54",7675327,7019780,10.2519512,0.7649,47.73938,24.86381,100.7,7.97,52.31252,4.96968,2023-07-21 06:27:54
"123","$2023-07-21 06:27:56",7674652,7019200,10.252105,0.4479,47.69207,24.87983,100.4,7.97,52.31252,4.96968,2023-07-21 06:27:56
"124","$2023-07-21 06:27:58",7674004,7018641,10.2521932,0.2547,47.70581,24.89318,100.7,7.97,52.31252,4.96968,2023-07-21 06:27:58
"125","$2023-07-21 06:28:00",7673411,7018095,10.252248,0.1614,47.66613,24.89318,100.4,7.97,52.31252,4.96968,2023-07-21 06:28:00
"126","$2023-07-21 06:28:02",7672771,7017499,10.2524126,0.4789,47.63257,24.90654,100.7,7.97,52.31252,4.96968,2023-07-21 06:28:02
"127","$2023-07-21 06:28:04",7671992,7016787,10.2528083,1.1552,47.62494,24.86381,100.4,7.97,52.31252,4.96968,2023-07-21 06:28:04
"128","$2023-07-21 06:28:06",7671279,7016153,10.2531934,1.1241,47.64325,24.90654,100.7,7.97,52.31252,4.96968,2023-07-21 06:28:06
"129","$2023-07-21 06:28:08",7670697,7015571,10.2535999,1.1899,47.67071,24.91989,100.4,7.97,52.31252,4.96968,2023-07-21 06:28:08
"130","$2023-07-21 06:28:10",7669977,7014927,10.2540934,1.4418,47.65545,24.90654,100.4,7.97,52.31252,4.96968,2023-07-21 06:28:10
"131","$2023-07-21 06:28:12",7669390,7014355,10.2546871,1.7248,47.70123,24.94926,100.7,7.97,52.31252,4.96968,2023-07-21 06:28:12
"132","$2023-07-21 06:28:14",7668634,7013664,10.2552485,1.6483,47.77447,24.93591,100.4,7.97,52.31229,4.96928,2023-07-21 06:28:14
"133","$2023-07-21 06:28:16",7668059,7013027,10.2559614,2.0821,47.85382,24.94926,100.7,7.97,52.31229,4.96928,2023-07-21 06:28:16
"134","$2023-07-21 06:28:18",7667450,7012460,10.2569616,2.933,47.86602,24.93591,100.4,7.96,52.31229,4.96928,2023-07-21 06:28:18
"135","$2023-07-21 06:28:20",7666698,7011819,10.2577865,2.4174,47.90265,24.93591,100.4,7.96,52.31229,4.96928,2023-07-21 06:28:20
"136","$2023-07-21 06:28:22",7665990,7011187,10.2581489,1.0542,47.93164,24.97597,100.7,7.97,52.31229,4.96928,2023-07-21 06:28:22
"137","$2023-07-21 06:28:24",7665400,7010612,10.2583015,0.4321,47.98505,24.97597,100.7,7.97,52.31229,4.9693,2023-07-21 06:28:24
"138","$2023-07-21 06:28:26",7664727,7010067,10.2585208,0.6398,48.0354,24.97597,100.7,7.96,52.31229,4.9693,2023-07-21 06:28:26
"139","$2023-07-21 06:28:28",7664076,7009480,10.2586544,0.3862,48.06287,24.99199,100.7,7.97,52.31229,4.9693,2023-07-21 06:28:28
"140","$2023-07-21 06:28:30",7663476,7008941,10.2586758,0.0637,48.15137,24.99199,100.7,7.96,52.31229,4.9693,2023-07-21 06:28:30
"141","$2023-07-21 06:28:32",7662818,7008327,10.2588069,0.3828,48.12696,24.99199,100.7,7.97,52.31229,4.9693,2023-07-21 06:28:32
